Player_ID,Total_Runs,Total_Balls_Faced,Total_Four,Total_Six,Strike_Rate
P001,165,200,20,1,82.5
P002,40,62,8,0,64.52
P003,200,234,19,2,85.47
P004,139,197,8,1,70.56
P005,205,235,13,3,87.23
P006,177,154,13,8,114.94
P007,115,111,9,2,103.6
P008,49,49,5,2,100
P009,0,5,0,0,0
P010,77,112,9,0,68.75
P011,18,24,2,1,75
P012,107,142,6,2,75.35
P013,2,6,0,0,33.33
P014,113,169,7,1,66.86
P015,44,37,3,3,118.92
P016,0,4,0,0,0
P017,13,26,1,0,50
P018,3,11,0,0,27.27
P019,147,143,16,1,102.8
P020,11,11,2,0,100
P021,114,147,9,1,77.55
P022,193,199,13,7,96.98
P093,83,65,9,1,127.69
P024,142,93,11,8,152.69
P025,3,8,0,0,37.5
P122,56,37,5,4,151.35
#N/A,30,25,5,1,120
P028,227,209,25,3,108.61
P029,24,29,5,0,82.76
P109,225,233,19,2,96.57
P031,47,56,6,0,83.93
P032,82,106,1,3,77.36
P110,33,40,3,1,82.5
P034,8,7,0,0,114.29
P035,60,49,8,1,122.45
P036,11,20,0,0,55
P037,10,26,0,0,38.46
P038,87,116,11,1,75
P039,68,95,5,0,71.58
P040,49,91,3,0,53.85
P041,61,52,6,1,117.31
P042,5,11,0,0,45.45
P089,107,88,10,3,121.59
P044,14,14,0,1,100
P045,27,31,1,1,87.1
P046,27,17,0,4,158.82
P047,0,0,0,0,0
P048,4,14,0,0,28.57
P049,0,12,0,0,0
P050,16,34,1,0,47.06
P051,216,203,15,7,106.4
P052,105,131,9,3,80.15
P053,106,122,10,1,86.89
P087,60,120,4,0,50
P097,108,94,2,8,114.89
P098,49,42,2,3,116.67
P099,18,34,2,0,52.94
P058,41,34,5,1,120.59
P059,15,23,1,0,65.22
P060,0,3,0,0,0
P061,43,48,4,0,89.58
P062,15,30,0,0,50
P054,180,180,21,6,100
P063,188,249,17,3,75.5
P064,218,263,15,0,82.89
P065,243,306,16,5,79.41
P092,118,159,6,3,74.21
P066,263,284,8,11,92.61
P069,99,93,7,6,106.45
P070,60,48,5,0,125
P134,5,8,0,0,62.5
P072,4,4,0,0,100
P068,104,78,15,3,133.33
P074,0,9,0,0,0
P073,154,190,13,1,81.05
P088,76,81,7,1,93.83
P075,131,98,8,6,133.67
P077,130,120,16,1,108.33
P103,135,65,16,9,207.69
P135,19,29,1,1,65.52
P136,7,12,0,0,58.33
P082,10,7,0,1,142.86
P078,3,3,0,0,100
P084,263,247,29,3,106.48
#N/A,44,45,1,2,97.78
P086,0,4,0,0,0
P083,24,41,4,0,58.54
#N/A,18,27,3,0,66.67
P100,83,81,12,2,102.47
P111,6,9,0,0,66.67
P090,0,5,0,0,0
P091,67,63,11,0,106.35
P117,2,4,0,0,50
P118,9,4,0,1,225
P119,3,6,0,0,50
P123,1,4,0,0,25
P124,16,22,2,0,72.73
P125,3,6,0,0,50
