Player,Player_ID,Country,Role,Batting Style,Bowling Style
Will Young,P001,New Zealand,Batsman,Right-hand Bat,None
Devon Conway,P002,New Zealand,Batsman,Left-hand Bat,None
Kane Williamson,P003,New Zealand,Batsman,Right-hand Bat,None
Daryl Mitchell,P004,New Zealand,Batsman,Right-hand Bat,None
Tom Latham,P005,New Zealand,Batsman,Left-hand Bat,None
Glenn Phillips,P006,New Zealand,All-Rounder,Right-hand Bat,Right-arm off-spin
Michael Bracewell,P007,New Zealand,All-Rounder,Left-hand Bat,Right-arm off-spin
Tanzid Hasan,P008,Bangladesh,Batsman,Left-hand Bat,None
Soumya Sarkar,P009,Bangladesh,Batsman,Left-hand Bat,None
Najmul Hossain Shanto,P010,Bangladesh,Batsman,Left-hand Bat,None
Mehidy Hasan Miraz,P011,Bangladesh,All-Rounder,Right-hand Bat,Right-arm off-spin
Towhid Hridoy,P012,Bangladesh,Batsman,Right-hand Bat,None
Mushfiqur Rahim,P013,Bangladesh,Batsman,Right-hand Bat,None
Jaker Ali,P014,Bangladesh,Batsman,Right-hand Bat,None
Rishad Hossain,P015,Bangladesh,All-Rounder,Right-hand Bat,Right-arm leg spin
Tanzim Hasan Sakib,P016,Bangladesh,All-Rounder,Right-hand Bat,Right-arm fast-medium
Taskin Ahmed,P017,Bangladesh,All-Rounder,Right-hand Bat,Right-arm fast
Mustafizur Rahman,P018,Bangladesh,Batsman,Left-hand Bat,None
Ryan Rickelton,P019,South Africa,Batsman,Left-hand Bat,None
Tony de Zorzi,P020,South Africa,Batsman,Left-hand Bat,None
Temba Bavuma,P021,South Africa,Batsman,Right-hand Bat,None
Rassie van der Dussen,P022,South Africa,Batsman,Right-hand Bat,None
Markram,P023,South Africa,All-Rounder,Right-hand Bat,Right-arm off-spin
David Miller,P024,South Africa,Batsman,Left-hand Bat,None
Marco Jansen,P025,South Africa,All-Rounder,Left-hand Bat,Left-arm fast-medium
Mulder,P026,South Africa,All-Rounder,Right-hand Bat,Right-arm medium
Philip Salt,P027,England,Batsman,Right-hand Bat,None
Ben Duckett,P028,England,Batsman,Left-hand Bat,None
Jamie Smith,P029,England,Batsman,Right-hand Bat,None
Root,P030,England,All-Rounder,Right-hand Bat,Right-arm off-spin
Harry Brook,P031,England,Batsman,Right-hand Bat,None
Jos Buttler,P032,England,Batsman,Right-hand Bat,None
Livingstone,P033,England,All-Rounder,Right-hand Bat,Right-arm off-spin / leg-spin
Brydon Carse,P034,England,All-Rounder,Right-hand Bat,Right-arm fast-medium
Jofra Archer,P035,England,All-Rounder,Right-hand Bat,Right-arm fast
Adil Rashid,P036,England,All-Rounder,Right-hand Bat,Right-arm leg spin
Imam-ul-Haq,P037,Pakistan,Batsman,Left-hand Bat,None
Babar Azam,P038,Pakistan,Batsman,Right-hand Bat,None
Saud Shakeel,P039,Pakistan,Batsman,Left-hand Bat,None
Mohammad Rizwan,P040,Pakistan,Batsman,Right-hand Bat,None
Salman Agha,P041,Pakistan,All-Rounder,Right-hand Bat,Right-arm off-spin
Tayyab Tahir,P042,Pakistan,Batsman,Right-hand Bat,None
Khushdil,P043,Pakistan,All-Rounder,Left-hand Bat,Left-arm orthodox spin
Shaheen Afridi,P044,Pakistan,All-Rounder,Left-hand Bat,Left-arm fast
Naseem Shah,P045,Pakistan,All-Rounder,Right-hand Bat,Right-arm fast
Haris Rauf,P046,Pakistan,All-Rounder,Right-hand Bat,Right-arm fast
Abrar Ahmed,P047,Pakistan,All-Rounder,Right-hand Bat,Right-arm leg spin
Mahmudullah,P048,Bangladesh,Batsman,Right-hand Bat,None
Nahid Rana,P049,Bangladesh,All-Rounder,Right-hand Bat,Right-arm medium
